Fly_Drone1,,,,,,,,,,,,,,,
Time      ,.C.CM_Position.X,.C.CM_Position.Y,.C.CM_Position.Z,.R1.CM_Position.X,.R1.CM_Position.Y,.R1.CM_Position.Z,.R2.CM_Position.X,.R2.CM_Position.Y,.R2.CM_Position.Z,.R3.CM_Position.X,.R3.CM_Position.Y,.R3.CM_Position.Z,.R4.CM_Position.X,.R4.CM_Position.Y,.R4.CM_Position.Z
3.250000e+000,-7.683233e+000,-6.659615e+001,5.414545e+002,-9.767634e+001,-3.356302e+000,6.078190e+002,1.043079e+002,-3.409484e+000,6.056231e+002,-9.783867e+001,1.866475e+002,6.053586e+002,1.053045e+002,1.872058e+002,6.030727e+002
3.300000e+000,-6.267807e+000,-6.621319e+001,5.418861e+002,-9.666933e+001,-2.563520e+000,6.071585e+002,1.053251e+002,-2.603492e+000,6.063338e+002,-9.683320e+001,1.874165e+002,6.032742e+002,1.063208e+002,1.879875e+002,6.023627e+002
3.350000e+000,-4.273138e+000,-6.595174e+001,5.421172e+002,-9.508619e+001,-2.086165e+000,6.064554e+002,1.069091e+002,-2.092579e+000,6.070538e+002,-9.525164e+001,1.878738e+002,6.016905e+002,1.079036e+002,1.884782e+002,6.022075e+002
3.400000e+000,-1.622549e+000,-6.579092e+001,5.421972e+002,-9.282673e+001,-1.847241e+000,6.057545e+002,1.091596e+002,-1.812113e+000,6.077495e+002,-9.299373e+001,1.881005e+002,6.005260e+002,1.101530e+002,1.887464e+002,6.024461e+002
3.450000e+000,1.749845e+000,-6.569946e+001,5.421852e+002,-8.980327e+001,-1.757082e+000,6.050985e+002,1.121661e+002,-1.681428e+000,6.083864e+002,-8.997170e+001,1.881851e+002,5.996718e+002,1.131585e+002,1.888717e+002,6.028916e+002
3.500000e+000,5.898673e+000,-6.564987e+001,5.421294e+002,-8.594222e+001,-1.746165e+000,6.045265e+002,1.160059e+002,-1.636083e+000,6.089324e+002,-8.611188e+001,1.881945e+002,5.990481e+002,1.169972e+002,1.889158e+002,6.033922e+002
3.550000e+000,1.086690e+001,-6.562974e+001,5.420522e+002,-8.118535e+001,-1.787593e+000,6.040726e+002,1.207416e+002,-1.652479e+000,6.093598e+002,-8.135598e+001,1.881545e+002,5.986442e+002,1.217321e+002,1.889010e+002,6.038748e+002
3.600000e+000,1.668556e+001,-6.564695e+001,5.419441e+002,-7.549060e+001,-1.904408e+000,6.037629e+002,1.264198e+002,-1.757674e+000,6.096461e+002,-7.566188e+001,1.880432e+002,5.985310e+002,1.274099e+002,1.888014e+002,6.043618e+002
3.650000e+000,2.337361e+001,-6.572726e+001,5.417674e+002,-6.883254e+001,-2.160796e+000,6.036142e+002,1.330696e+002,-2.021092e+000,6.097754e+002,-6.900412e+001,1.877990e+002,5.988446e+002,1.340594e+002,1.885504e+002,6.049564e+002
3.700000e+000,3.093799e+001,-6.590524e+001,5.414701e+002,-6.120248e+001,-2.639815e+000,6.036320e+002,1.407013e+002,-2.529844e+000,6.097380e+002,-6.137400e+001,1.873400e+002,5.997419e+002,1.416912e+002,1.880619e+002,6.058010e+002
3.750000e+000,3.937381e+001,-6.621062e+001,5.410049e+002,-5.260823e+001,-3.413011e+000,6.038093e+002,1.493069e+002,-3.354237e+000,6.095294e+002,-5.277933e+001,1.865907e+002,6.013424e+002,1.502971e+002,1.872616e+002,6.070180e+002
3.800000e+000,4.866474e+001,-6.665422e+001,5.403497e+002,-4.307359e+001,-4.508974e+000,6.041264e+002,1.588601e+002,-4.513159e+000,6.091510e+002,-4.324393e+001,1.855102e+002,6.036689e+002,1.598509e+002,1.861185e+002,6.086515e+002
3.850000e+000,5.878356e+001,-6.721749e+001,5.395239e+002,-3.263756e+001,-5.888397e+000,6.045545e+002,1.693178e+002,-5.949619e+000,6.086119e+002,-3.280684e+001,1.841202e+002,6.066071e+002,1.703095e+002,1.846721e+002,6.106250e+002
3.900000e+000,6.969293e+001,-6.784984e+001,5.385975e+002,-2.135319e+001,-7.432553e+000,6.050620e+002,1.806225e+002,-7.524408e+000,6.079343e+002,-2.152116e+001,1.825256e+002,6.098961e+002,1.816152e+002,1.830476e+002,6.127310e+002
3.950000e+000,8.134641e+001,-6.847484e+001,5.376887e+002,-9.286068e+000,-8.949994e+000,6.056239e+002,1.927042e+002,-9.031229e+000,6.071591e+002,-9.452566e+000,1.809203e+002,6.131563e+002,1.936980e+002,1.814537e+002,6.146552e+002
4.000000e+000,9.368958e+001,-6.900345e+001,5.369485e+002,3.487535e+000,-1.020254e+001,6.062259e+002,2.054837e+002,-1.023076e+001,6.063472e+002,3.322609e+000,1.795683e+002,6.159476e+002,2.064786e+002,1.801554e+002,6.160316e+002
4.050000e+000,1.066614e+002,-6.934963e+001,5.365335e+002,1.688301e+001,-1.094693e+001,6.068626e+002,2.188750e+002,-1.089589e+001,6.055714e+002,1.671967e+001,1.787552e+002,6.178439e+002,2.198710e+002,1.794223e+002,6.165113e+002
4.100000e+000,1.201956e+002,-6.944464e+001,5.365688e+002,3.081004e+001,-1.098436e+001,6.075255e+002,2.327891e+002,-1.085767e+001,6.049000e+002,3.064819e+001,1.787177e+002,6.185076e+002,2.337861e+002,1.794609e+002,6.158331e+002
4.150000e+000,1.342222e+002,-6.924209e+001,5.371180e+002,4.517545e+001,-1.020760e+001,6.081885e+002,2.471356e+002,-1.004240e+001,6.043792e+002,4.501493e+001,1.795713e+002,6.177507e+002,2.481334e+002,1.803530e+002,6.138810e+002
4.200000e+000,1.486689e+002,-6.872902e+001,5.381580e+002,5.988620e+001,-8.635668e+000,6.088007e+002,2.618258e+002,-8.493052e+000,6.040232e+002,5.972678e+001,1.812631e+002,6.155785e+002,2.628242e+002,1.820214e+002,6.107260e+002
4.250000e+000,1.634625e+002,-6.793471e+001,5.395753e+002,7.485220e+001,-6.426942e+000,6.092936e+002,2.767741e+002,-6.371633e+000,6.038185e+002,7.469358e+001,1.835704e+002,6.122103e+002,2.777730e+002,1.842398e+002,6.066436e+002
4.300000e+000,1.785298e+002,-6.693819e+001,5.411822e+002,8.998884e+001,-3.864816e+000,6.096024e+002,2.918999e+002,-3.941281e+000,6.037410e+002,8.983065e+001,1.861487e+002,6.080706e+002,2.928991e+002,1.866840e+002,6.021011e+002
